card_name	image_url
Apprenticeship	http://play-agricola.com/Agricola/Cards/Cards/xminorApprenticeship_597_7.jpg
Aquavit	http://play-agricola.com/Agricola/Cards/Cards/xminorAquavit_8501_2.jpg
Archangel	http://play-agricola.com/Agricola/Cards/Cards/xminorArchangel_9140_1.jpg
Archer	http://play-agricola.com/Agricola/Cards/Cards/occx1Archer_4921_8.jpg
Architect	http://play-agricola.com/Agricola/Images/occg1architect_v4.jpg
Art	http://play-agricola.com/Agricola/Cards/Cards/xminorArt_4398_4.jpg
Art Director	http://play-agricola.com/Agricola/Cards/Cards/occx4ArtDirector_4019_7.jpg
Artichoke Field	http://play-agricola.com/Agricola/Cards/Cards/xminorArtichokeField_6318_3.jpg
Artisan	http://play-agricola.com/Agricola/Images/occg1artisan_v2.jpg
Artists Garden	http://play-agricola.com/Agricola/Cards/Cards/xminorArtistsGarden_2582_11.jpg
Astronomer	http://play-agricola.com/Agricola/Images/occg3astronomer_v2.jpg
Attic	http://play-agricola.com/Agricola/Cards/Cards/xminorAttic_416_12.jpg
Auctioneer	http://play-agricola.com/Agricola/Images/occg4auctioneer_v2.jpg
Award Winner	http://play-agricola.com/Agricola/Cards/Cards/occx1AwardWinner_3930_13.jpg
Axe	http://play-agricola.com/Agricola/Images/eminoraxe.jpg
Baby Sling	http://play-agricola.com/Agricola/Cards/Cards/xminorBabySling_6057_9.jpg
Back Door	http://play-agricola.com/Agricola/Cards/Cards/xminorBackDoor_2217_8.jpg
Backyard Well	http://play-agricola.com/Agricola/Cards/Cards/xminorBackyardWell_583_12.jpg
Badger	http://play-agricola.com/Agricola/Cards/Cards/xminorBadger_2851_11.jpg
Baguette	http://play-agricola.com/Agricola/Cards/Cards/xminorBaguette_2659_7.jpg
Bakehouse	http://play-agricola.com/Agricola/Images/kminorbakehouse.jpg
Baker	http://play-agricola.com/Agricola/Images/occe1baker.jpg
Baker's Daughter	http://play-agricola.com/Agricola/Images/occg3bakersdaughter_v2.jpg
Baker's Kitchen	http://play-agricola.com/Agricola/Images/iminorbakerskitchen.jpg
Baker's Oven	http://play-agricola.com/Agricola/Images/eminorbakersoven.jpg
Baker's Servant	http://play-agricola.com/Agricola/Cards/Cards/occx1BakersServant_5719_15.jpg
Bakery	http://play-agricola.com/Agricola/Cards/Cards/xminorBakery_6174_1.jpg
Baking Field	http://play-agricola.com/Agricola/Images/gminorbakingfield.jpg
Baking Tray	http://play-agricola.com/Agricola/Images/eminorbakingtray.jpg
Balance Farmer	http://play-agricola.com/Agricola/Cards/Cards/occx1BalanceFarmer_6661_1.jpg
Bamboo	http://play-agricola.com/Agricola/Cards/Cards/xminorBamboo_4784_2.jpg
Banana Tree	http://play-agricola.com/Agricola/Cards/Cards/xminorBananaTree_9141_1.jpg
Banker	http://play-agricola.com/Agricola/Cards/Cards/occx3Banker_4976_2.jpg
Barbecue Man	http://play-agricola.com/Agricola/Cards/Cards/occx1BarbecueMan_5625_3.jpg
Barber Shop	http://play-agricola.com/Agricola/Cards/Cards/xminorBarberShop_3225_6.jpg
Bard	http://play-agricola.com/Agricola/Images/occg4bard.jpg
Bargain Hunter	http://play-agricola.com/Agricola/Cards/Cards/occx4BargainHunter_5612_1.jpg
Bargaining Baker	http://play-agricola.com/Agricola/Cards/Cards/occx1BargainingBaker_501_11.jpg
Bargaining Harvester	http://play-agricola.com/Agricola/Cards/Cards/occx4BargainingHarvester_6004_10.jpg
Bark Breads	http://play-agricola.com/Agricola/Cards/Cards/xminorBarkBreads_5063_2.jpg
Barn	http://play-agricola.com/Agricola/Cards/Cards/xminorBarn_4845_2.jpg
Barn Master	http://play-agricola.com/Agricola/Cards/Cards/occx1BarnMaster_7222_2.jpg
Barrel Maker	http://play-agricola.com/Agricola/Cards/Cards/occx1BarrelMaker_3616_7.jpg
Bartering Hut	http://play-agricola.com/Agricola/Images/gminorbarteringhut.jpg
Bartering Shack	http://play-agricola.com/Agricola/Cards/Cards/xminorBarteringShack_7052_4.jpg
Basin Maker	http://play-agricola.com/Agricola/Images/occk4basinmaker.jpg
Basket	http://play-agricola.com/Agricola/Images/eminorbasket.jpg
Basketmaker	http://play-agricola.com/Agricola/Images/occe4basketmaker.jpg
Bathroom	http://play-agricola.com/Agricola/Cards/Cards/xminorBathroom_2569_13.jpg
Beanfield	http://play-agricola.com/Agricola/Images/eminorbeanfield.jpg
Bean Hole	http://play-agricola.com/Agricola/Cards/Cards/xminorBeanHole_7227_4.jpg
Beastmaster	http://play-agricola.com/Agricola/Cards/Cards/occx1Beastmaster_4324_3.jpg
Beauty and the Beast	http://play-agricola.com/Agricola/Cards/Cards/occx4BeautyandtheBeast_8810_5.jpg
Beehive	http://play-agricola.com/Agricola/Images/kminorbeehive.jpg
Beehive Oven	http://play-agricola.com/Agricola/Images/gminorbeehiveoven.jpg
Bee Keeper	http://play-agricola.com/Agricola/Cards/Cards/occx1BeeKeeper_910_13.jpg
Benefactor	http://play-agricola.com/Agricola/Cards/Cards/occx3Benefactor_3234_6.jpg
Berry Picker	http://play-agricola.com/Agricola/Images/occe3berrypicker.jpg
Birdcage	http://play-agricola.com/Agricola/Cards/Cards/xminorBirdcage_1875_3.jpg
Birthstone	http://play-agricola.com/Agricola/Images/gminorbirthstone.jpg
Birth Well	http://play-agricola.com/Agricola/Cards/Cards/xminorBirthWell_8482_2.jpg
Blackberry Farmer	http://play-agricola.com/Agricola/Cards/Cards/occx1BlackberryFarmer_6598_5.jpg
Blacksmith	http://play-agricola.com/Agricola/Cards/Cards/occx3Blacksmith_5387_12.jpg
Black Swan Lake	http://play-agricola.com/Agricola/Cards/Cards/xminorBlackSwanLake_4697_3.jpg
Boar Breeding	http://play-agricola.com/Agricola/Images/kminorboarbreeding.jpg
Boarding School	http://play-agricola.com/Agricola/Cards/Cards/xminorBoardingSchool_6066_11.jpg
Boar Lord	http://play-agricola.com/Agricola/Cards/Cards/occx4BoarLord_7333_7.jpg
Boar Trap	http://play-agricola.com/Agricola/Cards/Cards/xminorBoarTrap_8582_1.jpg
Boat Constructor	http://play-agricola.com/Agricola/Cards/Cards/occx1BoatConstructor_10692_2.jpg
Boatswain	http://play-agricola.com/Agricola/Cards/Cards/occx1Boatswain_3874_5.jpg
Bonanza	http://play-agricola.com/Agricola/Cards/Cards/xminorBonanza_6481_2.jpg
Bone Collector	http://play-agricola.com/Agricola/Cards/Cards/occx1BoneCollector_6576_3.jpg
Bonfire	http://play-agricola.com/Agricola/Cards/Cards/xminorBonfire_658_7.jpg
Bonus	http://play-agricola.com/Agricola/Cards/Cards/xminorBonus_5718_1.jpg
Bonus Room	http://play-agricola.com/Agricola/Cards/Cards/xminorBonusRoom_8266_2.jpg
Bookshelf	http://play-agricola.com/Agricola/Images/kminorbookshelf.jpg
Borrowed Plow	http://play-agricola.com/Agricola/Cards/Cards/xminorBorrowedPlow_5430_13.jpg
Borrower	http://play-agricola.com/Agricola/Cards/Cards/occx1Borrower_176_3.jpg
Botanist	http://play-agricola.com/Agricola/Cards/Cards/occx1Botanist_6388_6.jpg
Boundary Stones	http://play-agricola.com/Agricola/Cards/Cards/xminorBoundaryStones_637_4.jpg
Bountiful Harvest	http://play-agricola.com/Agricola/Images/gminorbountifulharvest_v2.jpg
Bounty	http://play-agricola.com/Agricola/Cards/Cards/xminorBounty_7087_4.jpg
Bowyer	http://play-agricola.com/Agricola/Cards/Cards/occx3Bowyer_7361_1.jpg
Braggart	http://play-agricola.com/Agricola/Images/occe3braggart.jpg
Braid Maker	http://play-agricola.com/Agricola/Cards/Cards/occx1BraidMaker_4939_2.jpg
Branch Collector	http://play-agricola.com/Agricola/Cards/Cards/occx1BranchCollector_859_10.jpg
Brazier	http://play-agricola.com/Agricola/Cards/Cards/xminorBrazier_547_4.jpg
Bread Carrier	http://play-agricola.com/Agricola/Cards/Cards/occx1BreadCarrier_1044_3.jpg
Bread Machine	http://play-agricola.com/Agricola/Cards/Cards/xminorBreadMachine_6323_3.jpg
Bread Paddle	http://play-agricola.com/Agricola/Images/kminorbreadpaddle.jpg
Bread Seller	http://play-agricola.com/Agricola/Images/occe3breadseller.jpg
Breakfast Outdoors	http://play-agricola.com/Agricola/Cards/Cards/xminorBreakfastOutdoors_2863_5.jpg
Brewery	http://play-agricola.com/Agricola/Images/kminorbrewery.jpg
Bricklayer	http://play-agricola.com/Agricola/Images/occi1bricklayer.jpg
Brickyard	http://play-agricola.com/Agricola/Cards/Cards/xminorBrickyard_4271_3.jpg
Broom	http://play-agricola.com/Agricola/Images/kminorbroom.jpg
Brush Maker	http://play-agricola.com/Agricola/Images/occe3brushmaker.jpg
Brushwood Collector	http://play-agricola.com/Agricola/Images/occk3brushwoodcollector.jpg
Brushwood Roof	http://play-agricola.com/Agricola/Images/kminorbrushwoodroof.jpg
Builder's Trowel	http://play-agricola.com/Agricola/Images/eminorbuilderstrowel.jpg
Building Material	http://play-agricola.com/Agricola/Images/eminorbuildingmaterial.jpg
Building Planner	http://play-agricola.com/Agricola/Cards/Cards/occx4BuildingPlanner_6367_4.jpg
Burger Flipper	http://play-agricola.com/Agricola/Cards/Cards/occx4BurgerFlipper_4411_2.jpg
Buried Treasure	http://play-agricola.com/Agricola/Cards/Cards/xminorBuriedTreasure_291_7.jpg
Businessman	http://play-agricola.com/Agricola/Images/occi3businessman.jpg
Business Tutor	http://play-agricola.com/Agricola/Cards/Cards/occx1BusinessTutor_5932_6.jpg
Businesswoman	http://play-agricola.com/Agricola/Images/occg1businesswoman.jpg
Butcher	http://play-agricola.com/Agricola/Images/occi1butcher.jpg
Butter Churn	http://play-agricola.com/Agricola/Images/eminorbutterchurn.jpg
Cabbage Lover	http://play-agricola.com/Agricola/Cards/Cards/occx4CabbageLover_2495_4.jpg
Cabinetmaker	http://play-agricola.com/Agricola/Images/occi3cabinetmaker.jpg
Cabinet Owner	http://play-agricola.com/Agricola/Cards/Cards/occx3CabinetOwner_8328_2.jpg
Cactus Lover	http://play-agricola.com/Agricola/Cards/Cards/occx1CactusLover_9135_1.jpg
Camembert	http://play-agricola.com/Agricola/Cards/Cards/xminorCamembert_2399_5.jpg
Candy Room	http://play-agricola.com/Agricola/Cards/Cards/xminorCandyRoom_8389_2.jpg
Canoe	http://play-agricola.com/Agricola/Images/eminorcanoe.jpg
Card Player	http://play-agricola.com/Agricola/Cards/Cards/occx1CardPlayer_3408_14.jpg
Carpenter	http://play-agricola.com/Agricola/Images/occe1carpenter.jpg
Carpet	http://play-agricola.com/Agricola/Cards/Cards/xminorCarpet_5151_3.jpg
Carp Pond	http://play-agricola.com/Agricola/Images/eminorcarppond.jpg
Carrot Cake Baker	http://play-agricola.com/Agricola/Images/occg1carrotcakebaker_v2.jpg
Carrot Farmer	http://play-agricola.com/Agricola/Images/occg1carrotfarmer.jpg
Carrot Harvester	http://play-agricola.com/Agricola/Cards/Cards/xminorCarrotHarvester_8677_3.jpg
Carrots	http://play-agricola.com/Agricola/Cards/Cards/xminorCarrots_6404_7.jpg
Cash Crop	http://play-agricola.com/Agricola/Cards/Cards/xminorCashCrop_2714_11.jpg
Casino Manager	http://play-agricola.com/Agricola/Cards/Cards/occx3CasinoManager_6596_8.jpg
Cat Lover	http://play-agricola.com/Agricola/Cards/Cards/occx3CatLover_3606_6.jpg
Cattle Breeder	http://play-agricola.com/Agricola/Images/occk4cattlebreeder.jpg
Cattle Dealer	http://play-agricola.com/Agricola/Cards/Cards/occx4CattleDealer_3207_20.jpg
Cattle Market	http://play-agricola.com/Agricola/Images/eminorcattlemarket.jpg
Cattle Rancher	http://play-agricola.com/Agricola/Cards/Cards/occx4CattleRancher_5757_4.jpg
Cattle Whisperer	http://play-agricola.com/Agricola/Images/occe4cattlewhisperer.jpg
Ceramics	http://play-agricola.com/Agricola/Images/eminorceramics.jpg
Chamberlain	http://play-agricola.com/Agricola/Images/occi1chamberlain.jpg
Chameleon	http://play-agricola.com/Agricola/Cards/Cards/xminorChameleon_2397_6.jpg
Champion Breeder	http://play-agricola.com/Agricola/Cards/Cards/occx3ChampionBreeder_5036_4.jpg
Changing Plans	http://play-agricola.com/Agricola/Cards/Cards/xminorChangingPlans_1147_7.jpg
Charcoal Burner	http://play-agricola.com/Agricola/Images/occe3charcoalburner.jpg
Cheapskate	http://play-agricola.com/Agricola/Cards/Cards/occx1Cheapskate_5441_9.jpg
Cheese Fondue	http://play-agricola.com/Agricola/Cards/Cards/xminorCheeseFondue_5007_3.jpg
Cheese Slicer	http://play-agricola.com/Agricola/Cards/Cards/xminorCheeseSlicer_5911_4.jpg
Chemist	http://play-agricola.com/Agricola/Cards/Cards/occx3Chemist_151_16.jpg
Cherry Orchard	http://play-agricola.com/Agricola/Cards/Cards/xminorCherryOrchard_4867_4.jpg
Chess Player	http://play-agricola.com/Agricola/Cards/Cards/occx4ChessPlayer_6944_2.jpg
Chicken Coop	http://play-agricola.com/Agricola/Images/iminorchickencoop.jpg
Chief	http://play-agricola.com/Agricola/Images/occe1chief.jpg
Chief's Daughter	http://play-agricola.com/Agricola/Images/occe1chiefsdaughter.jpg
Child Care Worker	http://play-agricola.com/Agricola/Cards/Cards/occx4ChildCareWorker_2488_5.jpg
Child Psychologist	http://play-agricola.com/Agricola/Cards/Cards/occx3ChildPsychologist_5028_5.jpg
Children's Playground	http://play-agricola.com/Agricola/Cards/Cards/xminorChildrensPlayground_2466_2.jpg
Child's Toy	http://play-agricola.com/Agricola/Cards/Cards/xminorChildsToy_4767_3.jpg
Chimney	http://play-agricola.com/Agricola/Cards/Cards/xminorChimney_5583_2.jpg
Chimney Sweep	http://play-agricola.com/Agricola/Cards/Cards/occx4ChimneySweep_5249_10.jpg
Chocolade	http://play-agricola.com/Agricola/Cards/Cards/xminorChocolade_2576_10.jpg
Chronicle	http://play-agricola.com/Agricola/Images/gminorchronicle_v3.jpg
Church Warden	http://play-agricola.com/Agricola/Images/occi1churchwarden.jpg
Circus Manager	http://play-agricola.com/Agricola/Cards/Cards/occx4CircusManager_5157_5.jpg
Clapper	http://play-agricola.com/Agricola/Images/kminorclapper.jpg
Clay Deliveryman	http://play-agricola.com/Agricola/Images/occe1claydeliveryman.jpg
Clay Deposit	http://play-agricola.com/Agricola/Images/iminorclaydeposit.jpg
Clay Digger	http://play-agricola.com/Agricola/Images/occi4claydigger.jpg
Clay Exchange	http://play-agricola.com/Agricola/Cards/Cards/xminorClayExchange_6905_1.jpg
Clay Firer	http://play-agricola.com/Agricola/Images/occe4clayfirer.jpg
Clay Hut Builder	http://play-agricola.com/Agricola/Images/occi1clayhutbuilder.jpg
Clay Hut Extension	http://play-agricola.com/Agricola/Images/kminorclayhutextension.jpg
Clay Mixer	http://play-agricola.com/Agricola/Images/occe1claymixer.jpg
Clay Path	http://play-agricola.com/Agricola/Images/iminorclaypath.jpg
Clay Pit	http://play-agricola.com/Agricola/Images/kminorclaypit.jpg
Clay Plasterer	http://play-agricola.com/Agricola/Images/occi1clayplasterer.jpg
Clay Roof	http://play-agricola.com/Agricola/Images/eminorclayroof.jpg
Clay Seller	http://play-agricola.com/Agricola/Images/occe4clayseller.jpg
Clay Starter	http://play-agricola.com/Agricola/Images/occg1claystarter.jpg
Clay Supports	http://play-agricola.com/Agricola/Images/eminorclaysupports.jpg
Claytablet	http://play-agricola.com/Agricola/Cards/Cards/xminorClaytablet_6909_4.jpg
Clay Worker	http://play-agricola.com/Agricola/Images/occk1clayworker.jpg
Clay Worker's Shop	http://play-agricola.com/Agricola/Cards/Cards/xminorClayWorkersShop_4276_3.jpg
Clear Cutting	http://play-agricola.com/Agricola/Images/gminorclearcutting_v3.jpg
Clerk	http://play-agricola.com/Agricola/Cards/Cards/occx3Clerk_6306_3.jpg
Clockwork Man	http://play-agricola.com/Agricola/Cards/Cards/xminorClockworkMan_290_2.jpg
Clogs	http://play-agricola.com/Agricola/Images/eminorclogs.jpg
Cloister	http://play-agricola.com/Agricola/Cards/Cards/xminorCloister_6482_2.jpg
Cloister Dweller	http://play-agricola.com/Agricola/Cards/Cards/occx1CloisterDweller_1067_3.jpg
Coal Investor	http://play-agricola.com/Agricola/Cards/Cards/occx1CoalInvestor_6211_4.jpg
Coal Miner	http://play-agricola.com/Agricola/Cards/Cards/occx1CoalMiner_4525_2.jpg
Coal Pit	http://play-agricola.com/Agricola/Cards/Cards/xminorCoalPit_9900_1.jpg
Coarse Grain	http://play-agricola.com/Agricola/Cards/Cards/xminorCoarseGrain_7004_5.jpg
Cocotte	http://play-agricola.com/Agricola/Cards/Cards/occx1Cocotte_3309_4.jpg
Coffee Break	http://play-agricola.com/Agricola/Cards/Cards/xminorCoffeeBreak_3786_9.jpg
Coke Stove	http://play-agricola.com/Agricola/Cards/Cards/xminorCokeStove_5165_4.jpg
Collar and Chain	http://play-agricola.com/Agricola/Cards/Cards/xminorCollarandChain_5335_5.jpg
Colliery Overman	http://play-agricola.com/Agricola/Cards/Cards/occx1CollieryOverman_10422_1.jpg
Commercial Baker	http://play-agricola.com/Agricola/Cards/Cards/occx4CommercialBaker_4458_2.jpg
Compost Farmer	http://play-agricola.com/Agricola/Cards/Cards/occx1Compostfarmer_8508_3.jpg
Conjurer	http://play-agricola.com/Agricola/Images/occe4conjurer.jpg
Conservator	http://play-agricola.com/Agricola/Images/occe1conservator.jpg
Constable	http://play-agricola.com/Agricola/Images/occk3constable.jpg
Contractor	http://play-agricola.com/Agricola/Cards/Cards/occx1Contractor_2120_8.jpg
Convict Number 24601	http://play-agricola.com/Agricola/Cards/Cards/occx1ConvictNumber24601_2324_12.jpg
Cook	http://play-agricola.com/Agricola/Images/occe4cook.jpg
Cookies	http://play-agricola.com/Agricola/Cards/Cards/xminorCookies_930_8.jpg
Cooking Corner	http://play-agricola.com/Agricola/Images/iminorcookingcorner.jpg
Cooking Hearth	http://play-agricola.com/Agricola/Images/kminorcookinghearth.jpg
Cooking Instructor	http://play-agricola.com/Agricola/Cards/Cards/occx3CookingInstructor_6580_6.jpg
Cook Pot	http://play-agricola.com/Agricola/Cards/Cards/xminorCookPot_267_7.jpg
Copse	http://play-agricola.com/Agricola/Images/iminorcopse.jpg
Corn on the Cob	http://play-agricola.com/Agricola/Cards/Cards/xminorCornontheCob_4385_2.jpg
Corn Profiteer	http://play-agricola.com/Agricola/Images/occi4cornprofiteer.jpg
Cornrick	http://play-agricola.com/Agricola/Cards/Cards/xminorCornrick_4011_10.jpg
Corn Scoop	http://play-agricola.com/Agricola/Images/eminorcornscoop.jpg
Corn Sheaf	http://play-agricola.com/Agricola/Images/kminorcornsheaf.jpg
Corn Storehouse	http://play-agricola.com/Agricola/Images/iminorcornstorehouse.jpg
Cornucopia	http://play-agricola.com/Agricola/Cards/Cards/xminorCornucopia_4492_5.jpg
Corral	http://play-agricola.com/Agricola/Images/gminorcorral.jpg
Costermonger's Barrow	http://play-agricola.com/Agricola/Cards/Cards/xminorCostermongersBarrow_4495_4.jpg
Cottar	http://play-agricola.com/Agricola/Cards/Cards/occx4Cottar_895_9.jpg
Country Doctor	http://play-agricola.com/Agricola/Cards/Cards/occx1CountryDoctor_3682_8.jpg
Countryman	http://play-agricola.com/Agricola/Images/occk4countryman.jpg
Country Silo	http://play-agricola.com/Agricola/Cards/Cards/xminorCountrySilo_5039_7.jpg
Covetous Farmer	http://play-agricola.com/Agricola/Cards/Cards/occx3CovetousFarmer_1902_9.jpg
Cow Bell	http://play-agricola.com/Agricola/Images/gminorcowbell.jpg
Cowboy	http://play-agricola.com/Agricola/Cards/Cards/occx3Cowboy_705_5.jpg
Cowboy And Mother	http://play-agricola.com/Agricola/Cards/Cards/occx1CowboyAndMother_2985_13.jpg
Cow Chips	http://play-agricola.com/Agricola/Cards/Cards/xminorCowChips_5339_2.jpg
Cowherd	http://play-agricola.com/Agricola/Images/occi3cowherd.jpg
Crib	http://play-agricola.com/Agricola/Cards/Cards/xminorCrib_354_4.jpg
Crooked Plow	http://play-agricola.com/Agricola/Images/kminorcrookedplow.jpg
Crop Farmer	http://play-agricola.com/Agricola/Cards/Cards/occx4CropFarmer_7196_2.jpg
Crop Rotation Field	http://play-agricola.com/Agricola/Cards/Cards/xminorCropRotationField_4389_2.jpg
Crop Rotator	http://play-agricola.com/Agricola/Cards/Cards/occx1CropRotator_1900_12.jpg
Crystal Ball	http://play-agricola.com/Agricola/Cards/Cards/xminorCrystalBall_6250_4.jpg
Custom Improvements	http://play-agricola.com/Agricola/Cards/Cards/xminorCustomImprovements_4274_3.jpg
Dairy Crier	http://play-agricola.com/Agricola/Cards/Cards/occx4DairyCrier_5817_4.jpg
Dairy Supply	http://play-agricola.com/Agricola/Cards/Cards/xminorDairySupply_6104_7.jpg
Dancer	http://play-agricola.com/Agricola/Images/occe4dancer.jpg
Debris Dealer	http://play-agricola.com/Agricola/Cards/Cards/occx3DebrisDealer_1018_7.jpg
Debt Collector	http://play-agricola.com/Agricola/Cards/Cards/occx4DebtCollector_2680_7.jpg
Dentist	http://play-agricola.com/Agricola/Cards/Cards/occx1Dentist_6196_4.jpg
Diamond Mine	http://play-agricola.com/Agricola/Cards/Cards/xminorDiamondMine_134_4.jpg
Diary	http://play-agricola.com/Agricola/Cards/Cards/xminorDiary_2436_2.jpg
Dictionary	http://play-agricola.com/Agricola/Cards/Cards/xminorDictionary_4888_1.jpg
Diligent Farmer	http://play-agricola.com/Agricola/Cards/Cards/occx3DiligentFarmer_5722_5.jpg
Dinghy	http://play-agricola.com/Agricola/Cards/Cards/xminorDinghy_4240_4.jpg
Diplomat	http://play-agricola.com/Agricola/Cards/Cards/occx3Diplomat_897_25.jpg
Dock Worker	http://play-agricola.com/Agricola/Images/occe1dockworker.jpg
Dolly's Mother	http://play-agricola.com/Agricola/Cards/Cards/xminorDollysMother_5310_15.jpg
Donkey	http://play-agricola.com/Agricola/Cards/Cards/xminorDonkey_138_9.jpg
Dormer	http://play-agricola.com/Agricola/Cards/Cards/xminorDormer_8410_1.jpg
Dough	http://play-agricola.com/Agricola/Cards/Cards/xminorDough_5197_3.jpg
Dovecote	http://play-agricola.com/Agricola/Images/eminordovecote.jpg
Dove Hunter	http://play-agricola.com/Agricola/Cards/Cards/occx4DoveHunter_3949_5.jpg
Dovetail Joints	http://play-agricola.com/Agricola/Cards/Cards/xminorDovetailJoints_3102_7.jpg
Downsizing	http://play-agricola.com/Agricola/Cards/Cards/xminorDownsizing_250_12.jpg
Drained Pond	http://play-agricola.com/Agricola/Cards/Cards/xminorDrainedPond_586_6.jpg
Drawing Genius	http://play-agricola.com/Agricola/Cards/Cards/occx1DrawingGenius_3374_5.jpg
Dray	http://play-agricola.com/Agricola/Cards/Cards/xminorDray_8967_1.jpg
Driftwood	http://play-agricola.com/Agricola/Cards/Cards/xminorDriftwood_235_2.jpg
Drinker of Absinthe	http://play-agricola.com/Agricola/Cards/Cards/occx1DrinkerofAbsinthe_2782_7.jpg
Drinking Trough	http://play-agricola.com/Agricola/Images/eminordrinkingtrough.jpg
Drunkard	http://play-agricola.com/Agricola/Cards/Cards/occx3Drunkard_4524_3.jpg
Dual Field	http://play-agricola.com/Agricola/Cards/Cards/xminorDualField_5938_5.jpg
Duck Pond	http://play-agricola.com/Agricola/Images/kminorduckpond.jpg
Dung Collector	http://play-agricola.com/Agricola/Cards/Cards/occx1DungCollector_6463_7.jpg
Dunghill	http://play-agricola.com/Agricola/Images/gminordunghill_v2.jpg
Dusk Worker	http://play-agricola.com/Agricola/Cards/Cards/occx1DuskWorker_3578_5.jpg
Eager Student	http://play-agricola.com/Agricola/Cards/Cards/occx4EagerStudent_9287_2.jpg
Early Expert	http://play-agricola.com/Agricola/Cards/Cards/occx1EarlyExpert_10540_9.jpg
Early Riser	http://play-agricola.com/Agricola/Images/occg1earlyriser_v3.jpg
